City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,geraldton,-28.7667,114.6,16.23,72,0,4.63,AU,1732725368
322,katsuura,35.1333,140.3,16.69,62,7,12.26,JP,1732725371
323,key west,24.5557,-81.7826,26.0,69,0,4.12,US,1732725269
324,broome,42.2506,-75.833,6.16,66,75,2.57,US,1732725373
325,zelenogorsk,56.1147,94.5861,1.44,58,100,7.63,RU,1732725374
326,rawson,-43.3002,-65.1023,15.16,63,100,5.14,AR,1732725375
327,tromso,69.6496,18.957,2.01,69,75,5.66,NO,1732725309
328,merizo village,13.2658,144.6691,28.31,88,29,8.52,GU,1732725377
329,san antonio de pale,-1.4014,5.6325,25.8,84,30,4.27,GQ,1732725379
330,yatou,37.15,122.3833,-0.86,40,0,6.08,CN,1732725380
331,praia da vitoria,38.7333,-27.0667,19.14,63,40,9.3,PT,1732725381
332,laguna,38.421,-121.4238,7.25,85,0,3.6,US,1732725382
333,suratgarh,29.3167,73.9,19.97,22,0,2.79,IN,1732725383
334,baniachang,24.5167,91.3667,20.07,68,88,1.39,BD,1732725384
335,conception bay south,47.4999,-52.9981,3.74,91,94,2.43,CA,1732725386
336,sao felix do xingu,-6.6447,-51.995,34.2,42,66,2.08,BR,1732725387
337,buala,-8.145,159.5921,26.84,82,98,3.08,SB,1732725388
338,heroica guaymas,27.9333,-110.9,16.65,63,75,0.0,MX,1732725260
339,milisauti,47.7833,26.0,4.47,93,99,0.57,RO,1732725390
340,pucallpa,-8.3791,-74.5539,30.02,70,75,4.12,PE,1732725391
341,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,68,0,3.0,RU,1732725136
342,molchanovo,57.5817,83.7692,-4.46,83,2,3.36,RU,1732725394
343,keflavik,64.0049,-22.5624,4.24,81,75,8.75,IS,1732725396
344,beloyarskiy,63.7119,66.6722,1.18,97,99,2.72,RU,1732725397
345,altea,38.5989,-0.0514,17.1,99,2,1.67,ES,1732725398
346,carbonear,47.7332,-53.2148,3.97,90,93,2.45,CA,1732725400
347,sao paulo de olivenca,-3.3783,-68.8725,32.82,63,85,1.74,BR,1732725401
348,sola,-13.8833,167.55,27.59,79,98,5.71,VU,1732725402
349,manicore,-5.8092,-61.3003,36.76,37,99,1.89,BR,1732725403
350,victoria falls,-17.9235,25.843,25.06,78,40,2.57,ZW,1732725110
351,pangody,65.85,74.4859,1.48,91,100,9.91,RU,1732725136
352,yung shue wan,22.2333,114.1167,19.23,42,31,5.34,HK,1732725407
353,pyay,18.8167,95.2167,21.87,82,35,2.43,MM,1732725408
354,saipan,15.1355,145.701,27.39,92,75,9.77,MP,1732725409
355,makokou,0.5738,12.8642,22.03,96,72,0.1,GA,1732725410
356,krasnoufimsk,56.6059,57.7669,-5.71,90,72,1.38,RU,1732725411
357,pesnica,46.6258,15.7128,7.95,94,75,3.6,SI,1732725412
358,santo tome,-31.6627,-60.7653,27.23,84,74,0.89,AR,1732725414
359,wamba,8.9333,8.6,27.33,26,1,1.59,NG,1732725415
360,fale old settlement,-9.3852,-171.2468,28.56,71,90,4.62,TK,1732725416
361,sheregesh,52.9209,87.9869,-7.24,88,12,1.32,RU,1732725417
